step_index,time_s,time_us,alpha1_rad_s,alpha2_rad_s,alpha1_khz,alpha2_khz
0,5.6450000000000006e-07,0.56450000000000011,2429992.086364992,0,386.74525221917634,0
1,1.6935000000000002e-06,1.6935000000000002,2948610.4118096624,0,469.28592229173694,0
2,2.8225000000000005e-06,2.8225000000000007,3693219.1348204417,0,587.79408122824634,0
3,3.9515000000000002e-06,3.9515000000000002,2471581.0984249716,27290.81186442457,393.36434906683053,4.3434676092141151
4,5.0805000000000007e-06,5.0805000000000007,3769911.1843077517,0,600,0
5,6.2095000000000004e-06,6.2095000000000002,3769911.1843077517,41269.292157175587,600,6.5682118447180837
6,7.338500000000001e-06,7.3385000000000007,3016299.6648835791,41151.599565340672,480.05900151264905,6.5494804869622598
7,8.4675000000000015e-06,8.4675000000000011,3278557.0043719448,12863.567512882779,521.7985534543518,2.0473003554716125
8,9.5965000000000004e-06,9.5965000000000007,3769911.1843077517,0,600,0
9,1.0725500000000001e-05,10.7255,3769911.1843077517,62632.950368380189,600,9.9683436515570545
10,1.1854500000000001e-05,11.854500000000002,3769911.1843077517,11217.02110031819,600,1.7852443548817309
11,1.2983500000000002e-05,12.983500000000001,3769911.1843077517,0,600,0
12,1.4112500000000001e-05,14.112500000000001,3477825.2402828168,38636.727087423256,553.51307820076897,6.1492261008559401
13,1.5241500000000001e-05,15.241500000000002,2338984.9759962307,23882.37002948294,372.26102074747831,3.8009972429419445
14,1.6370500000000002e-05,16.370500000000003,3769911.1843077517,110626.9282447305,600,17.606822469221274
15,1.7499500000000001e-05,17.499500000000001,3769911.1843077517,56326.665200221381,600,8.9646671944974763
16,1.8628500000000003e-05,18.628500000000003,2620381.3126871609,0,417.04663869979112,0
17,1.9757500000000002e-05,19.7575,2163771.9414562001,51123.408351374586,344.37500020630142,8.1365431468267495
18,2.0886500000000001e-05,20.886500000000002,3769911.1843077517,15310.171392614349,600,2.436689456718701
19,2.2015500000000003e-05,22.015500000000003,2271633.882333531,45983.793520811843,361.54176126841446,7.3185480409542754
20,2.3144500000000002e-05,23.144500000000001,3687367.5165315359,35660.098155025727,586.86276725248013,5.6754808925145221
21,2.4273500000000004e-05,24.273500000000006,3769911.1843077517,38716.645307253326,600,6.1619454805850005
22,2.5402500000000003e-05,25.402500000000003,3256797.9416757775,8678.7678676556534,518.33549106921032,1.3812688060845055
23,2.6531500000000002e-05,26.531500000000001,3407868.0861509116,87660.521754474059,542.37905131603463,13.951605351239174
24,2.7660500000000004e-05,27.660500000000003,3297008.1426767414,49403.959897049586,524.73514332123239,7.8628844259292068
25,2.8789500000000003e-05,28.789500000000004,3605704.2172527299,57717.164648881379,573.86564950306536,9.1859720551182704
26,2.9918500000000002e-05,29.918500000000002,3653499.7367929416,67672.901305676394,581.47254269553525,10.770476756168378
27,3.1047500000000004e-05,31.047500000000003,3692047.4713250482,27634.124234996358,587.60760519131418,4.3981074700152112
28,3.2176500000000006e-05,32.176500000000004,3346988.7860874794,4046.0174034168158,532.68980977896467,0.64394366958962157
29,3.3305500000000002e-05,33.305500000000002,3269009.2568395389,16533.909997983137,520.27898223917589,2.6314535048155259
30,3.4434500000000004e-05,34.434500000000007,2903090.9174650153,72820.459841247983,462.04126975974276,11.589736141959474
31,3.5563500000000006e-05,35.563500000000005,2530917.2020967593,62742.068222919836,402.80798327000872,9.985710297486623
32,3.6692500000000001e-05,36.692500000000003,1327861.6732737473,34470.375873584577,211.33574904379219,5.486130710516596
33,3.7821500000000004e-05,37.8215,3468067.3954960285,26845.931792236013,551.96006896902816,4.2726627466422267
34,3.8950500000000006e-05,38.950500000000005,3380669.2659664955,21198.9532763311,538.05022463741727,3.3739182023022249
35,4.0079500000000001e-05,40.079500000000003,1862218.3679792071,32084.793495314068,296.38125838041293,5.1064534828619248
36,4.1208500000000004e-05,41.208500000000001,2669214.1002131063,84952.625318298509,424.81861821950156,13.520630248040908
37,4.2337500000000006e-05,42.337500000000006,1605410.1619322812,64113.880229456903,255.50896296148272,10.204040959319808
38,4.3466500000000001e-05,43.466500000000003,3769911.1843077517,61476.427287153027,600,9.7842772863798828
39,4.4595500000000004e-05,44.595500000000001,1730043.5042089508,85207.273551688981,275.34497545887876,13.56115877313462
40,4.5724500000000006e-05,45.724500000000006,2231002.95440561,52615.1877649749,355.07514824627526,8.3739672145039687
41,4.6853500000000008e-05,46.853500000000011,695058.08742821869,101946.41028694504,110.62193035019978,16.225275127641755
42,4.7982500000000004e-05,47.982500000000002,1790109.0842447218,77822.318119005009,284.90470943125359,12.385806611509619
43,4.9111500000000006e-05,49.111500000000007,1268916.2785777478,120232.69926518461,201.95429810542106,19.135628409335425
44,5.0240500000000008e-05,50.240500000000011,2915314.6588185206,111674.17420636414,463.98673861922998,17.773496840648292
45,5.1369500000000003e-05,51.369500000000002,2049353.3790536423,97060.108667093038,326.16472041846589,15.447596071404371
46,5.2498500000000006e-05,52.498500000000007,2932575.2488194853,115979.44624084914,466.73384683856602,18.458702166291882
47,5.3627500000000008e-05,53.627500000000005,2329666.3272438208,83355.824359648046,370.77791173559513,13.266491482337809
48,5.4756500000000003e-05,54.756500000000003,1638505.8468089392,63220.184605794464,260.77630480461454,10.061804883194336
49,5.5885500000000006e-05,55.885500000000008,1009229.5722651851,99467.861285188294,160.62387514052341,15.830801802316683
50,5.7014500000000008e-05,57.014500000000005,1628437.7457839868,26851.112758852432,259.17391675894476,4.2734873230892241
51,5.8143500000000003e-05,58.143500000000003,1653378.0370196234,124347.69271148664,263.14328739124784,19.790549957105146
52,5.9272500000000006e-05,59.272500000000008,1481540.9062365915,34053.422612393821,235.79455862039978,5.4197705379598009
53,6.0401500000000008e-05,60.401500000000006,1564603.431695895,118266.84976106652,249.01437013294435,18.822753743380279
54,6.153050000000001e-05,61.530500000000011,1813009.1676194735,81463.156467761757,288.54937089756186,12.96526403171279
55,6.2659500000000005e-05,62.659500000000008,3303626.5564428074,125663.70614359171,525.78849658752927,20
56,6.3788500000000001e-05,63.788499999999999,1413880.4093093642,123006.8113630818,225.02605608237755,19.577142062406789
57,6.491750000000001e-05,64.917500000000004,1818097.1485360132,123235.58878468967,289.35914821078637,19.613553119923502
58,6.6046500000000005e-05,66.046500000000009,2758930.5284700063,125662.55817058079,439.09743125313662,19.999817294420776
59,6.7175500000000001e-05,67.1755,1417290.5569831892,80550.338024484692,225.56879794134014,12.819984464319795
60,6.830450000000001e-05,68.304500000000004,514634.8048423829,101438.74776604123,81.906673077798118,16.144478128017418
61,6.9433500000000005e-05,69.433500000000009,2312667.2190101836,112817.19788345497,368.07241963205763,17.955414708928373
62,7.0562500000000001e-05,70.5625,1217879.5141078536,112567.97631958655,193.8315447606206,17.915749865113622
63,7.169150000000001e-05,71.691500000000005,1147334.4132149494,122761.21701209167,182.60394324259843,19.538054507451264
64,7.2820500000000005e-05,72.82050000000001,6283.1853071795776,44572.702691188286,0.99999999999999867,7.0939659602680427
65,7.3949500000000014e-05,73.949500000000015,607513.65190990036,71559.079793266952,96.688800697269713,11.3889812722058
66,7.507850000000001e-05,75.078500000000005,2475430.8271237104,103684.39828938094,393.9770524187976,16.501884509263835
67,7.6207500000000005e-05,76.20750000000001,666921.7703397288,61318.547695432848,106.14389640516563,9.7591499689442855
68,7.7336500000000014e-05,77.336500000000015,1120355.0827034076,91000.66270682725,178.31004943037655,14.483205294429855
69,7.846550000000001e-05,78.465500000000006,1861574.6716832311,125663.70614359171,296.27881093305842,20
70,7.9594500000000005e-05,79.594500000000011,28171.927123384085,125314.83226441324,4.4837014581112173,19.944474997613103
71,8.0723500000000014e-05,80.723500000000016,6283.1853071795776,92127.696843882397,0.99999999999999867,14.66257834837549
72,8.185250000000001e-05,81.852500000000006,1838535.3155385947,125663.70614359171,292.61198351698494,20
73,8.2981500000000005e-05,82.981500000000011,786592.28434330877,114012.60831256935,125.19005025118328,18.14567018774553
74,8.4110500000000014e-05,84.110500000000016,6283.1853071795776,72992.253693234612,0.99999999999999867,11.617077982695942
75,8.5239500000000009e-05,85.239500000000007,746926.5635613862,125663.70614359171,118.87705471743737,20
76,8.6368500000000005e-05,86.368500000000012,6283.1853071795776,125663.70614359171,0.99999999999999867,20
77,8.7497500000000014e-05,87.497500000000016,1022824.6129783835,125663.70614359171,162.78759307156452,20
78,8.8626500000000009e-05,88.626500000000007,6283.1853071795776,101945.98804652691,0.99999999999999867,16.225207925992034
79,8.9755500000000005e-05,89.755499999999998,426223.88456675364,86923.123890540388,67.835638092628244,13.834244836168725
80,9.0884500000000014e-05,90.884500000000017,6283.1853071795776,92063.060073595203,0.99999999999999867,14.652291086878787
81,9.2013500000000009e-05,92.013500000000008,248559.03507236927,125663.70614359171,39.559399081919352,20
82,9.3142500000000005e-05,93.142499999999998,260446.56641576067,123372.90717673775,41.451358456379936,19.635408020795385
83,9.4271500000000014e-05,94.271500000000017,6283.1853071795776,98820.767961920792,0.99999999999999867,15.727813701276899
84,9.5400500000000009e-05,95.400500000000008,1279416.5005824855,120235.40266029409,203.62546034103738,19.136058668030227
85,9.6529500000000005e-05,96.529499999999999,120632.67084928695,125663.70614359171,19.19928586404161,20
86,9.7658500000000014e-05,97.658500000000018,1338353.9899712009,125663.70614359171,213.00565311067757,20
87,9.8787500000000009e-05,98.787500000000009,531434.57527861418,121668.09980768316,84.580439585533412,19.364079500990858
88,9.9916500000000005e-05,99.916499999999999,399986.40933869826,125663.70614359171,63.659814215832078,20
89,0.00010104550000000001,101.04550000000002,1422639.7490895013,125663.70614359171,226.42014830660787,20
90,0.00010217450000000001,102.17450000000001,690152.87661441858,123391.02404007569,109.84124180227566,19.638291409148938
91,0.0001033035,103.3035,1363011.8139609196,60054.413743454868,216.93006768453122,9.5579568017566974
